Name, T  K, B12  cm3/ mol
Dodecafluoropentane+Pentane, 307.9, -969
Dodecafluoropentane+Pentane, 323.15, -853
Dodecafluoropentane+Pentane, 337.9, -693
Dodecafluoropentane+Pentane, 373.15, -588
Dodecafluoropentane+Pentane, 383.3, -625
Pentane+Fluorobenzene, 443.2, -525
Pentane+Fluorobenzene, 453.2, -480
Pentane+Fluorobenzene, 463.2, -461
Pentane+Fluorobenzene, 473.2, -436
Pentane+Fluorobenzene, 483.2, -416
Pentane+Fluorobenzene, 493.2, -361
Pentane+Benzene, 433.2, -487
Pentane+Benzene, 443.2, -456
Pentane+Benzene, 453.2, -434
Pentane+Benzene, 463.2, -404
Pentane+Benzene, 473.2, -380
Pentane+Hexane, 323.15, -1229
Pentane+Hexane, 343.2, -1023
Pentane+Hexane, 348.15, -997
Pentane+Hexane, 363.2, -893
Pentane+Hexane, 373.15, -838
Pentane+Hexane, 383.2, -783
Pentane+Hexane, 403.2, -689
Hexafluorobenzene+Cyclohexane, 348.15, -1238
Hexafluorobenzene+Cyclohexane, 364.2, -997
Hexafluorobenzene+Cyclohexane, 389.69, -830
Hexafluorobenzene+Cyclohexane, 414.86, -690
Fluorobenzene+Benzene, 453.2, -598
Fluorobenzene+Benzene, 463.2, -563
Fluorobenzene+Benzene, 473.2, -540
Fluorobenzene+Benzene, 483.2, -507
Fluorobenzene+Benzene, 493.2, -471
Fluorobenzene+4-Fluorotoluene, 453, -666
Fluorobenzene+4-Fluorotoluene, 463, -647
Fluorobenzene+4-Fluorotoluene, 473, -620
Fluorobenzene+4-Fluorotoluene, 483, -598
Fluorobenzene+4-Fluorotoluene, 493, -584
Fluorobenzene+4-Fluorotoluene, 503, -565
Fluorobenzene+2-Fluorotoluene, 433, -607
Fluorobenzene+2-Fluorotoluene, 443, -613
Fluorobenzene+2-Fluorotoluene, 453, -612
Fluorobenzene+2-Fluorotoluene, 463, -609
Fluorobenzene+2-Fluorotoluene, 473, -607
Fluorobenzene+2-Fluorotoluene, 483, -603
Fluorobenzene+2-Fluorotoluene, 493, -597
Fluorobenzene+Toluene, 443.2, -795
Fluorobenzene+Toluene, 453.2, -774
Fluorobenzene+Toluene, 463.2, -709
Fluorobenzene+Toluene, 473.2, -655
Fluorobenzene+Toluene, 483.2, -576
Fluorobenzene+Toluene, 493.2, -519
Fluorobenzene+Heptane, 433.2, -772
Fluorobenzene+Heptane, 443.2, -706
Fluorobenzene+Heptane, 453.2, -648
Fluorobenzene+Heptane, 463.2, -600
Fluorobenzene+Heptane, 473.2, -564
Fluorobenzene+Heptane, 483.2, -536
Fluorobenzene+Heptane, 493.2, -515
Fluorobenzene+Octane, 443.2, -993
Fluorobenzene+Octane, 453.2, -944
Fluorobenzene+Octane, 463.2, -897
Fluorobenzene+Octane, 473.2, -855
Fluorobenzene+Octane, 483.2, -816
Fluorobenzene+Octane, 493.2, -782
Benzene+Cyclohexane, 308, -1364
Benzene+Cyclohexane, 308.2, -1346
Benzene+Cyclohexane, 323, -1280
Benzene+Cyclohexane, 323.2, -1215
Benzene+Cyclohexane, 328.2, -1227
Benzene+Cyclohexane, 333.2, -1203
Benzene+Cyclohexane, 338.2, -1158
Benzene+Cyclohexane, 343.2, -1109
Benzene+Cyclohexane, 343.2, -1041
Benzene+Cyclohexane, 348, -1090
Benzene+Cyclohexane, 348.2, -1075
Benzene+Cyclohexane, 373, -840
Benzene+Cyclohexane, 373.2, -918
Benzene+Hexane, 298.15, -1644
Benzene+Hexane, 298.15, -1633
Benzene+Hexane, 323.15, -1326
Benzene+Hexane, 323.15, -1327
Benzene+Hexane, 348.15, -1094
Benzene+Hexane, 348.15, -1091
Benzene+Hexane, 348.15, -1096
Benzene+Hexane, 348.15, -1096
Benzene+Hexane, 373.15, -917
Benzene+Hexane, 373.15, -913
Benzene+Hexane, 373.15, -915
Benzene+Hexane, 398.15, -783
Benzene+Hexane, 398.15, -783
Benzene+Hexane, 398.15, -783
Benzene+Hexane, 433.2, -761
Benzene+Hexane, 443.2, -738
Benzene+Hexane, 453.2, -674
Benzene+Hexane, 463.2, -610
Benzene+Hexane, 473.2, -557
Benzene+Hexane, 478.2, -545
Benzene+Hexane, 483.2, -498
Benzene+Hexane, 493.2, -435
Benzene+Toluene, 453.2, -676
Benzene+Toluene, 463.2, -637
Benzene+Toluene, 473.2, -594
Benzene+Toluene, 483.2, -559
Benzene+Toluene, 493.2, -530
Benzene+Heptane, 463.2, -668
Benzene+Heptane, 473.2, -621
Benzene+Heptane, 483.2, -581
Benzene+Heptane, 493.2, -546
Benzene+Heptane, 503.2, -523
Cyclohexane+Hexane, 298.15, -1764
Cyclohexane+Hexane, 298.15, -1780
Cyclohexane+Hexane, 298.15, -1782
Cyclohexane+Hexane, 323.15, -1428
Cyclohexane+Hexane, 323.15, -1428
Cyclohexane+Hexane, 348.15, -1177
Cyclohexane+Hexane, 348.15, -1177
Cyclohexane+Hexane, 373.15, -989
Cyclohexane+Hexane, 373.15, -988
Cyclohexane+Hexane, 373.15, -989
Cyclohexane+Hexane, 398.15, -846
Cyclohexane+Hexane, 398.15, -845
4-Fluorotoluene+Toluene, 373.2, -1199
4-Fluorotoluene+Toluene, 388.2, -1072
4-Fluorotoluene+Toluene, 403.2, -975
4-Fluorotoluene+Toluene, 423.2, -868
4-Fluorotoluene+Toluene, 443.2, -779
3-Fluorotoluene+Toluene, 373.2, -1218
3-Fluorotoluene+Toluene, 388.2, -1069
3-Fluorotoluene+Toluene, 403.2, -967
3-Fluorotoluene+Toluene, 423.2, -802
3-Fluorotoluene+Toluene, 443.2, -640
3-Fluorotoluene+Toluene, 458.2, -516
