Name, T  K, B12  cm^3*mol^-1
Ethene+Hexadecane, 398.15, -524
Ethene+Hexadecane, 448.15, -357
Bromoethane+Diethyl ether, 293.1, -1356
Bromoethane+Diethyl ether, 313.1, -1160
Bromoethane+Pentane, 313.1, -945
Chloroethane+1-Chloropropane, 303.2, -803
Chloroethane+1-Chloropropane, 313.2, -774
Chloroethane+1-Chloropropane, 333.2, -683
Chloroethane+2-Chloro-2-methylpropane, 313.2, -712
Chloroethane+2-Chloro-2-methylpropane, 333.2, -591
Ethane+Ethanol, 298.15, -276
Ethane+Ethanol, 323.15, -200
Ethane+Ethanol, 348.15, -190
Ethane+Decafluorobutane, 323.15, -273
Ethane+Diethyl ether, 298.15, -388
Ethane+1-Butanol, 298.15, -375
Ethane+Octane, 403.2, -354
Ethane+Octane, 413.2, -331
Ethane+1-Methylnaphthalene, 348.15, -672
Ethane+1-Methylnaphthalene, 398.15, -462
Ethane+1-Methylnaphthalene, 448.15, -322
Ethane+Bicyclohexyl, 323.15, -777
Ethane+Bicyclohexyl, 383.15, -545
Ethane+Bicyclohexyl, 443.15, -326
Ethane+Diphenylmethane, 338.15, -734
Ethane+Diphenylmethane, 393.15, -481
Ethane+Diphenylmethane, 448.15, -343
Ethane+Hexadecane, 348.15, -928
Ethane+Hexadecane, 398.15, -645
Ethane+Hexadecane, 448.15, -434
Ethane+2 6 10 15 19 23-Hexamethyltetracosane, 503.15, -293
Ethanol+Pentylamine, 363.15, -1112
Ethanol+Pentylamine, 363.15, -1138
Octafluoropropane+Propane, 323.15, -311
Octafluoropropane+Propane, 373.15, -212
Propene+Butane, 288.7, -529.6
Propene+2-Methylpropane, 288.7, -510.5
Propanone+Methyl ethanoate, 273.15, -905
Propanone+Hexane, 352.95, -865
Propane+Heptane, 383.2, -537
Propane+Heptane, 403.2, -490
Propane+Heptane, 413.2, -448
Propane+Octane, 403.2, -541
Propane+Octane, 410.2, -512
Propane+Octane, 413.2, -508
Decafluorobutane+Dodecafluoropentane, 323.15, -939
Decafluorobutane+Tetradecafluorohexane, 373.15, -733
Decafluorobutane+Hexane, 323.15, -830
Butanone+Benzene, 353.15, -762
Butane+Octane, 403.2, -735
Butane+Octane, 410.5, -714
Butane+Octane, 413.2, -700
Diethylamine+Cyclohexane, 349, -990
Pentane+Tetradecafluorohexane, 308, -1184
Pentane+Tetradecafluorohexane, 338.1, -895
Pentane+Tetradecafluorohexane, 384.2, -643
Pentane+Heptane, 393.2, -871
Pentane+Heptane, 403.2, -823
Pentane+Heptane, 413.2, -774
Pentane+Octane, 403.2, -953
Pentane+Octane, 413.2, -895
Tetradecafluorohexane+Hexane, 323.15, -1297
Tetradecafluorohexane+Hexane, 373.15, -871
Bromobenzene+Benzene, 303.2, -2166
Benzene+Octane, 478.2, -666
Benzene+Octane, 488.2, -642
Benzene+Octane, 498.2, -595
Benzene+1 7 7-Trimethylbicyclo[2.2.1]-2-heptanone, 353.15, -825
Hexane+Octane, 403.2, -1173
Hexane+Octane, 413.2, -1105
Heptane+Octane, 403.2, -1407
Heptane+Octane, 413.2, -1322
