Compound,"B, cm3/mol^-1","T, K",,,,,
"1,1-Dichloro-1-fluoroethane",-1096,285,,,1-Dichloro-1-fluoroethane;-1096;285,,
"1,1-Dichloro-1-fluoroethane",-962,300,,,1-Dichloro-1-fluoroethane;-962;300,,
"1,1-Dichloro-1-fluoroethane",-841,315,,,1-Dichloro-1-fluoroethane;-841;315,,
"1,1-Dichloro-1-fluoroethane",-738,333.15,,,1-Dichloro-1-fluoroethane;-738;333.15,,
"1,1-Dichloro-1-fluoroethane",-711,338.14,,,1-Dichloro-1-fluoroethane;-711;338.14,,
"1,1-Dichloro-1-fluoroethane",-685,343.13,,,1-Dichloro-1-fluoroethane;-685;343.13,,
"1,1-Dichloro-1-fluoroethane",-660,348.15,,,1-Dichloro-1-fluoroethane;-660;348.15,,
"1,1-Dichloro-1-fluoroethane",-636,353.15,,,1-Dichloro-1-fluoroethane;-636;353.15,,
"1,1-Dichloro-1-fluoroethane",-614,358.15,,,1-Dichloro-1-fluoroethane;-614;358.15,,
"1,1-Dichloro-1-fluoroethane",-592,363.14,,,1-Dichloro-1-fluoroethane;-592;363.14,,
"1,1-Dichloro-1-fluoroethane",-572,368.17,,,1-Dichloro-1-fluoroethane;-572;368.17,,
"1,1-Dichloro-1-fluoroethane",-552,373.18,,,1-Dichloro-1-fluoroethane;-552;373.18,,
"1,1-Dichloro-1-fluoroethane",-534,378.15,,,1-Dichloro-1-fluoroethane;-534;378.15,,
"1,1-Dichloro-1-fluoroethane",-516,383.15,,,1-Dichloro-1-fluoroethane;-516;383.15,,
"1,1-Dichloro-1-fluoroethane",-498,388.17,,,1-Dichloro-1-fluoroethane;-498;388.17,,
"1,1-Dichloro-1-fluoroethane",-482,393.15,,,1-Dichloro-1-fluoroethane;-482;393.15,,
"1,1-Dichloro-1-fluoroethane",-460,400,,,1-Dichloro-1-fluoroethane;-460;400,,
"1,1,1-Trichloroethane",-1266,315.45,,,1,1-Trichloroethane;-1266;315.45,
"1,1,1-Trichloroethane",-1125,334.65,,,1,1-Trichloroethane;-1125;334.65,
"1,1,1-Trichloroethane",-1034,347.22,,,1,1-Trichloroethane;-1034;347.22,
"1,1,1-Trichloroethane",-1067,354.85,,,1,1-Trichloroethane;-1067;354.85,
"1,1,1-Trichloroethane",-972,375.13,,,1,1-Trichloroethane;-972;375.13,
"1,1,1-Trichloroethane",-847,398.98,,,1,1-Trichloroethane;-847;398.98,
Fluoroethene,-299,293.15,,,,,
Fluoroethene,-247,313.15,,,,,
Fluoroethene,-204,333.15,,,,,
Fluoroethene,-168,353.15,,,,,
Fluoroethene,-138,373.15,,,,,
"1,1,1-Trifluoroethane",-650.4,250,,,1,1-Trifluoroethane;-650.4;250,
"1,1,1-Trifluoroethane",-646.3,250.01,,,1,1-Trifluoroethane;-646.3;250.01,
"1,1,1-Trifluoroethane",-600.3,260,,,1,1-Trifluoroethane;-600.3;260,
"1,1,1-Trifluoroethane",-532.3,270,,,1,1-Trifluoroethane;-532.3;270,
"1,1,1-Trifluoroethane",-497.3,276.15,,,1,1-Trifluoroethane;-497.3;276.15,
"1,1,1-Trifluoroethane",-484.1,280,,,1,1-Trifluoroethane;-484.1;280,
"1,1,1-Trifluoroethane",-465.7,283.15,,,1,1-Trifluoroethane;-465.7;283.15,
"1,1,1-Trifluoroethane",-441.9,289.96,,,1,1-Trifluoroethane;-441.9;289.96,
"1,1,1-Trifluoroethane",-437.7,290,,,1,1-Trifluoroethane;-437.7;290,
"1,1,1-Trifluoroethane",-442.4,290,,,1,1-Trifluoroethane;-442.4;290,
"1,1,1-Trifluoroethane",-426.1,293.15,,,1,1-Trifluoroethane;-426.1;293.15,
"1,1,1-Trifluoroethane",-400.8,300,,,1,1-Trifluoroethane;-400.8;300,
"1,1,1-Trifluoroethane",-397.7,300,,,1,1-Trifluoroethane;-397.7;300,
"1,1,1-Trifluoroethane",-391.7,303.15,,,1,1-Trifluoroethane;-391.7;303.15,
"1,1,1-Trifluoroethane",-367.7,310,,,1,1-Trifluoroethane;-367.7;310,
"1,1,1-Trifluoroethane",-372.4,310,,,1,1-Trifluoroethane;-372.4;310,
"1,1,1-Trifluoroethane",-361.4,313.15,,,1,1-Trifluoroethane;-361.4;313.15,
"1,1,1-Trifluoroethane",-347,319.44,,,1,1-Trifluoroethane;-347;319.44,
"1,1,1-Trifluoroethane",-332.3,320,,,1,1-Trifluoroethane;-332.3;320,
"1,1,1-Trifluoroethane",-345.5,320,,,1,1-Trifluoroethane;-345.5;320,
"1,1,1-Trifluoroethane",-299,323.15,,,1,1-Trifluoroethane;-299;323.15,
"1,1,1-Trifluoroethane",-334.5,323.15,,,1,1-Trifluoroethane;-334.5;323.15,
"1,1,1-Trifluoroethane",-316.8,330,,,1,1-Trifluoroethane;-316.8;330,
"1,1,1-Trifluoroethane",-320.4,330,,,1,1-Trifluoroethane;-320.4;330,
"1,1,1-Trifluoroethane",-310.4,333.15,,,1,1-Trifluoroethane;-310.4;333.15,
"1,1,1-Trifluoroethane",-297.6,339.91,,,1,1-Trifluoroethane;-297.6;339.91,
"1,1,1-Trifluoroethane",-282.2,340,,,1,1-Trifluoroethane;-282.2;340,
"1,1,1-Trifluoroethane",-295.7,340,,,1,1-Trifluoroethane;-295.7;340,
"1,1,1-Trifluoroethane",-253,343.15,,,1,1-Trifluoroethane;-253;343.15,
"1,1,1-Trifluoroethane",-288.6,343.15,,,1,1-Trifluoroethane;-288.6;343.15,
"1,1,1-Trifluoroethane",-271.9,350,,,1,1-Trifluoroethane;-271.9;350,
"1,1,1-Trifluoroethane",-274.1,350,,,1,1-Trifluoroethane;-274.1;350,
"1,1,1-Trifluoroethane",-268.7,353.15,,,1,1-Trifluoroethane;-268.7;353.15,
"1,1,1-Trifluoroethane",-262.5,353.15,,,1,1-Trifluoroethane;-262.5;353.15,
"1,1,1-Trifluoroethane",-258.1,359.98,,,1,1-Trifluoroethane;-258.1;359.98,
"1,1,1-Trifluoroethane",-243.2,360,,,1,1-Trifluoroethane;-243.2;360,
"1,1,1-Trifluoroethane",-257,360,,,1,1-Trifluoroethane;-257;360,
"1,1,1-Trifluoroethane",-212,363.15,,,1,1-Trifluoroethane;-212;363.15,
"1,1,1-Trifluoroethane",-250.4,363.15,,,1,1-Trifluoroethane;-250.4;363.15,
"1,1,1-Trifluoroethane",-238.5,363.15,,,1,1-Trifluoroethane;-238.5;363.15,
"1,1,1-Trifluoroethane",-235.2,370,,,1,1-Trifluoroethane;-235.2;370,
"1,1,1-Trifluoroethane",-239.5,370,,,1,1-Trifluoroethane;-239.5;370,
"1,1,1-Trifluoroethane",-233.5,373.15,,,1,1-Trifluoroethane;-233.5;373.15,
"1,1,1-Trifluoroethane",-233.1,373.15,,,1,1-Trifluoroethane;-233.1;373.15,
"1,1,1-Trifluoroethane",-212.5,380,,,1,1-Trifluoroethane;-212.5;380,
"1,1,1-Trifluoroethane",-224.1,380,,,1,1-Trifluoroethane;-224.1;380,
"1,1,1-Trifluoroethane",-225.6,380,,,1,1-Trifluoroethane;-225.6;380,
"1,1,1-Trifluoroethane",-205.7,383.15,,,1,1-Trifluoroethane;-205.7;383.15,
"1,1,1-Trifluoroethane",-204.6,390,,,1,1-Trifluoroethane;-204.6;390,
"1,1,1-Trifluoroethane",-192.2,393.15,,,1,1-Trifluoroethane;-192.2;393.15,
"1,1,1-Trifluoroethane",-198.3,399.98,,,1,1-Trifluoroethane;-198.3;399.98,
"1,1,1-Trifluoroethane",-188.1,400,,,1,1-Trifluoroethane;-188.1;400,
"1,1,1-Trifluoroethane",-173.4,403.15,,,1,1-Trifluoroethane;-173.4;403.15,
"1,1,1-Trifluoroethane",-179,410,,,1,1-Trifluoroethane;-179;410,
"1,1,1-Trifluoroethane",-168.5,420,,,1,1-Trifluoroethane;-168.5;420,
"1,1,1-Trifluoroethane",-152.6,440,,,1,1-Trifluoroethane;-152.6;440,
"1,1,2-Trifluoroethane",-599.9,300,,,1,2-Trifluoroethane;-599.9;300,
"1,1,2-Trifluoroethane",-537.7,310,,,1,2-Trifluoroethane;-537.7;310,
"2,2,2-Trifluoroethanol",-878.7,360,,,2,2-Trifluoroethanol;-878.7;360,
"2,2,2-Trifluoroethanol",-798.7,370,,,2,2-Trifluoroethanol;-798.7;370,
"2,2,2-Trifluoroethanol",-727.2,380,,,2,2-Trifluoroethanol;-727.2;380,
"2,2,2-Trifluoroethanol",-663.3,390,,,2,2-Trifluoroethanol;-663.3;390,
"2,2,2-Trifluoroethanol",-605.9,400,,,2,2-Trifluoroethanol;-605.9;400,
"2,2,2-Trifluoroethanol",-554.3,410,,,2,2-Trifluoroethanol;-554.3;410,
"2,2,2-Trifluoroethanol",-507.8,420,,,2,2-Trifluoroethanol;-507.8;420,
Iodoethene,-974,313.15,,,,,
Iodoethene,-878,333.15,,,,,
Iodoethene,-791,353.15,,,,,
Iodoethene,-713,373.15,,,,,
Acetonitrile,-5250,313.15,,,,,
Acetonitrile,-4010,324.4,,,,,
Acetonitrile,-3810,325.6,,,,,
Acetonitrile,-3130,332.8,,,,,
Acetonitrile,-3620,333.15,,,,,
Acetonitrile,-3120,333.6,,,,,
Acetonitrile,-3210,333.8,,,,,
Acetonitrile,-3090,334.9,,,,,
Acetonitrile,-2990,340.1,,,,,
Acetonitrile,-3000,340.4,,,,,
Acetonitrile,-2660,350.9,,,,,
Acetonitrile,-2820,351,,,,,
Acetonitrile,-2540,351.2,,,,,
Acetonitrile,-2470,351.5,,,,,
Acetonitrile,-2280,351.7,,,,,
Acetonitrile,-2550,351.7,,,,,
Acetonitrile,-2610,353.25,,,,,
Acetonitrile,-2240,364.6,,,,,
Acetonitrile,-2080,364.7,,,,,
Acetonitrile,-1940,368.5,,,,,
Acetonitrile,-1880,373.5,,,,,
Acetonitrile,-1930,373.65,,,,,
Acetonitrile,-1740,382.8,,,,,
Acetonitrile,-1520,393.2,,,,,
Acetonitrile,-1550,395.1,,,,,
Acetonitrile,-1444,403.15,,,,,
Acetonitrile,-1480,404.2,,,,,
Acetonitrile,-1480,405.4,,,,,
Acetonitrile,-1410,405.6,,,,,
Acetonitrile,-1243,423.15,,,,,
Acetonitrile,-1238,423.15,,,,,
Acetonitrile,-1156,433.15,,,,,
Acetonitrile,-1071,443.15,,,,,
Acetonitrile,-1075,443.15,,,,,
Acetonitrile,-940,463.15,,,,,
Acetonitrile,-515,573.15,,,,,
Acetonitrile,-395,623.15,,,,,
Acetonitrile,-305,673.15,,,,,
Ethene,-314.6,198.77,,,,,
Ethene,-317.4,199.7,,,,,
Ethene,-288.5,209.2,,,,,
Ethene,-249.2,223.15,,,,,
Ethene,-250.9,223.22,,,,,
Ethene,-250.5,223.23,,,,,
Ethene,-250.5,224,,,,,
Ethene,-228.8,233.15,,,,,
Ethene,-233,233.2,,,,,
Ethene,-220.9,238.15,,,,,
Ethene,-212,243.15,,,,,
Ethene,-211.6,243.15,,,,,
Ethene,-212.7,243.6,,,,,
Ethene,-206.5,247.1,,,,,
Ethene,-203.5,248.15,,,,,
Ethene,-206.5,248.2,,,,,
Ethene,-199.9,251.1,,,,,
Ethene,-195.5,253.15,,,,,
Ethene,-194.7,253.15,,,,,
Ethene,-194.9,254.3,,,,,
Ethene,-202.8,256.97,,,,,
Ethene,-207.2,256.97,,,,,
Ethene,-188.1,258.15,,,,,
Ethene,-188.1,258.9,,,,,
Ethene,-172.8,263.15,,,,,
Ethene,-180.9,263.15,,,,,
Ethene,-180.6,263.15,,,,,
Ethene,-177.5,266.6,,,,,
Ethene,-174.1,268.15,,,,,
Ethene,-186.2,268.87,,,,,
Ethene,-187.6,268.87,,,,,
Ethene,-172.6,270.4,,,,,
Ethene,-176.3,271.8,,,,,
Ethene,-170.1,273.06,,,,,
Ethene,-162.9,273.15,,,,,
Ethene,-162.4,273.15,,,,,
Ethene,-181.1,273.15,,,,,
Ethene,-170.7,273.15,,,,,
Ethene,-167.8,273.15,,,,,
Ethene,-161.4,273.15,,,,,
Ethene,-156.3,273.15,,,,,
Ethene,-168.3,273.15,,,,,
Ethene,-167.6,273.15,,,,,
Ethene,-167.7,273.15,,,,,
Ethene,-167.5,273.15,,,,,
Ethene,-166.4,273.16,,,,,
Ethene,-173.1,273.2,,,,,
Ethene,-168.3,273.8,,,,,
Ethene,-161.6,278.15,,,,,
Ethene,-162.2,278.8,,,,,
Ethene,-160.8,279.15,,,,,
Ethene,-156.7,282.35,,,,,
Ethene,-155.7,282.6,,,,,
Ethene,-152.8,282.6,,,,,
Ethene,-157.2,283.1,,,,,
Ethene,-150.9,283.15,,,,,
Ethene,-144.9,283.15,,,,,
Ethene,-155.7,283.15,,,,,
Ethene,-155.8,283.15,,,,,
Ethene,-155.5,283.15,,,,,
Ethene,-165.4,283.33,,,,,
Ethene,-154.6,283.65,,,,,
Ethene,-152.3,285.65,,,,,
Ethene,-150.3,288.15,,,,,
Ethene,-150.3,288.15,,,,,
Ethene,-142.1,288.7,,,,,
Ethene,-150.7,288.8,,,,,
Ethene,-148.4,289.15,,,,,
Ethene,-147.1,290,,,,,
Ethene,-146.5,292.6,,,,,
Ethene,-136.7,293.15,,,,,
Ethene,-144.2,293.15,,,,,
Ethene,-144.9,293.15,,,,,
Ethene,-145.3,293.15,,,,,
Ethene,-144.6,293.15,,,,,
Ethene,-146.3,293.15,,,,,
Ethene,-144.6,293.15,,,,,
Ethene,-152.5,293.34,,,,,
Ethene,-153.5,294.15,,,,,
Ethene,-147,295.2,,,,,
Ethene,-147.3,296.7,,,,,
Ethene,-135.8,298.15,,,,,
Ethene,-140.6,298.15,,,,,
Ethene,-140.3,298.15,,,,,
Ethene,-145.6,298.15,,,,,
Ethene,-152.5,298.15,,,,,
Ethene,-139.3,298.15,,,,,
Ethene,-139.8,298.15,,,,,
Ethene,-139.8,298.15,,,,,
Ethene,-140.2,298.15,,,,,
Ethene,-140.6,298.15,,,,,
Ethene,-140.4,298.15,,,,,
Ethene,-140.2,298.15,,,,,
Ethene,-138.3,298.16,,,,,
Ethene,-147.6,298.18,,,,,
Ethene,-138.9,298.2,,,,,
Ethene,-139.7,298.32,,,,,
Ethene,-142.2,298.32,,,,,
Ethene,-134.8,299.65,,,,,
Ethene,-145,299.8,,,,,
Ethene,-136.5,300,,,,,
Ethene,-135.2,303,,,,,
Ethene,-128.5,303.15,,,,,
Ethene,-134.5,303.15,,,,,
Ethene,-135,303.15,,,,,
Ethene,-134.7,303.15,,,,,
Ethene,-128.5,310,,,,,
Ethene,-126.5,310,,,,,
Ethene,-123.3,313.15,,,,,
Ethene,-120.7,313.15,,,,,
Ethene,-116.1,313.15,,,,,
Ethene,-126,313.15,,,,,
Ethene,-120.5,313.16,,,,,
Ethene,-123.1,318.04,,,,,
Ethene,-123.2,318.04,,,,,
Ethene,-113.7,323.15,,,,,
Ethene,-118.1,323.15,,,,,
Ethene,-118,323.15,,,,,
Ethene,-115.1,323.15,,,,,
Ethene,-113.6,323.15,,,,,
Ethene,-120.4,323.15,,,,,
Ethene,-122.1,323.15,,,,,
Ethene,-117,323.15,,,,,
Ethene,-117.7,323.15,,,,,
Ethene,-117.6,323.15,,,,,
Ethene,-118.5,323.15,,,,,
Ethene,-118,323.15,,,,,
Ethene,-117.9,323.15,,,,,
Ethene,-116.9,323.16,,,,,
Ethene,-115.2,323.2,,,,,
Ethene,-121,323.28,,,,,
Ethene,-124,323.4,,,,,
Ethene,-108,333.15,,,,,
Ethene,-109.7,333.15,,,,,
Ethene,-108,337,,,,,
Ethene,-109.5,343.1,,,,,
Ethene,-109.7,343.1,,,,,
Ethene,-101.2,343.15,,,,,
Ethene,-95.5,348.15,,,,,
Ethene,-99.9,348.15,,,,,
Ethene,-99.7,348.15,,,,,
Ethene,-100.8,348.15,,,,,
Ethene,-101.5,348.15,,,,,
Ethene,-100.4,348.15,,,,,
Ethene,-99.7,348.15,,,,,
Ethene,-99.9,348.15,,,,,
Ethene,-100,348.15,,,,,
Ethene,-99,348.16,,,,,
Ethene,-99.6,348.16,,,,,
Ethene,-102.8,348.17,,,,,
Ethene,-98.4,348.2,,,,,
Ethene,-95,353.15,,,,,
Ethene,-88.6,363.15,,,,,
Ethene,-82.1,373.12,,,,,
Ethene,-80.6,373.15,,,,,
Ethene,-85.1,373.15,,,,,
Ethene,-84.9,373.15,,,,,
Ethene,-83.2,373.15,,,,,
Ethene,-87.5,373.15,,,,,
Ethene,-84.9,373.15,,,,,
Ethene,-84.9,373.15,,,,,
Ethene,-84.8,373.15,,,,,
Ethene,-84.4,373.15,,,,,
Ethene,-85.1,373.15,,,,,
Ethene,-83.6,373.16,,,,,
Ethene,-83.8,373.16,,,,,
Ethene,-84.6,373.16,,,,,
Ethene,-84.6,373.16,,,,,
Ethene,-82.8,373.2,,,,,
Ethene,-69.2,398.15,,,,,
Ethene,-72.6,398.15,,,,,
Ethene,-72.3,398.15,,,,,
Ethene,-72.1,398.15,,,,,
Ethene,-72.3,398.15,,,,,
Ethene,-71.1,398.15,,,,,
Ethene,-72,398.15,,,,,
Ethene,-72,398.15,,,,,
Ethene,-72.2,398.16,,,,,
Ethene,-72.1,398.16,,,,,
Ethene,-71.4,398.2,,,,,
Ethene,-59.6,423.15,,,,,
Ethene,-62.1,423.15,,,,,
Ethene,-62.3,423.15,,,,,
Ethene,-59.8,423.15,,,,,
Ethene,-61.4,423.15,,,,,
Ethene,-61.6,423.15,,,,,
Ethene,-61.2,423.15,,,,,
Ethene,-61.9,423.15,,,,,
Ethene,-61,423.16,,,,,
Ethene,-61.3,423.17,,,,,
Ethene,-52.4,448.15,,,,,
Ethene,-52.2,448.17,,,,,
Ethene,-42.9,473.15,,,,,
Ethene,-43.5,473.15,,,,,
"1,1-Dichloroethane",-901,334.6,,,1-Dichloroethane;-901;334.6,,
"1,1-Dichloroethane",-788,353,,,1-Dichloroethane;-788;353,,
"1,1-Dichloroethane",-707,373.6,,,1-Dichloroethane;-707;373.6,,
"1,1-Dichloroethane",-617,392.6,,,1-Dichloroethane;-617;392.6,,
"1,1-Dichloroethane",-563,412.5,,,1-Dichloroethane;-563;412.5,,
"1,2-Dichloroethane",-843.5,364.8,,,2-Dichloroethane;-843.5;364.8,,
"1,2-Dichloroethane",-678.4,398.5,,,2-Dichloroethane;-678.4;398.5,,
"1,2-Dichloroethane",-639.5,407.5,,,2-Dichloroethane;-639.5;407.5,,
"1,2-Dichloroethane",-595.1,420.9,,,2-Dichloroethane;-595.1;420.9,,
"1,2-Dichloroethane",-503.7,451.9,,,2-Dichloroethane;-503.7;451.9,,
"1,2-Dichloroethane",-452.1,471.8,,,2-Dichloroethane;-452.1;471.8,,
"1,2-Dichloroethane",-425.8,484.1,,,2-Dichloroethane;-425.8;484.1,,
"1,2-Dichloroethane",-384.6,508.9,,,2-Dichloroethane;-384.6;508.9,,
"1,2-Dichloroethane",-381.7,511.7,,,2-Dichloroethane;-381.7;511.7,,
"1,2-Dichloroethane",-346.2,531.3,,,2-Dichloroethane;-346.2;531.3,,
"1,2-Dichloroethane",-304.2,563.2,,,2-Dichloroethane;-304.2;563.2,,
"1,2-Dichloroethane",-278.9,578.2,,,2-Dichloroethane;-278.9;578.2,,
"1,1-Difluoroethane",-1109,233.15,,,1-Difluoroethane;-1109;233.15,,
"1,1-Difluoroethane",-934.3,242.78,,,1-Difluoroethane;-934.3;242.78,,
"1,1-Difluoroethane",-844,253.15,,,1-Difluoroethane;-844;253.15,,
"1,1-Difluoroethane",-819.8,255,,,1-Difluoroethane;-819.8;255,,
"1,1-Difluoroethane",-776.7,260,,,1-Difluoroethane;-776.7;260,,
"1,1-Difluoroethane",-699.3,270,,,1-Difluoroethane;-699.3;270,,
"1,1-Difluoroethane",-662.7,273.13,,,1-Difluoroethane;-662.7;273.13,,
"1,1-Difluoroethane",-671,273.15,,,1-Difluoroethane;-671;273.15,,
"1,1-Difluoroethane",-632.1,280,,,1-Difluoroethane;-632.1;280,,
"1,1-Difluoroethane",-561.1,289.95,,,1-Difluoroethane;-561.1;289.95,,
"1,1-Difluoroethane",-559.5,290,,,1-Difluoroethane;-559.5;290,,
"1,1-Difluoroethane",-543.4,290,,,1-Difluoroethane;-543.4;290,,
"1,1-Difluoroethane",-573.4,290,,,1-Difluoroethane;-573.4;290,,
"1,1-Difluoroethane",-536,293.15,,,1-Difluoroethane;-536;293.15,,
"1,1-Difluoroethane",-534,296.15,,,1-Difluoroethane;-534;296.15,,
"1,1-Difluoroethane",-528,296.15,,,1-Difluoroethane;-528;296.15,,
"1,1-Difluoroethane",-505.7,300,,,1-Difluoroethane;-505.7;300,,
"1,1-Difluoroethane",-492.6,300,,,1-Difluoroethane;-492.6;300,,
"1,1-Difluoroethane",-521.9,300,,,1-Difluoroethane;-521.9;300,,
"1,1-Difluoroethane",-511.1,300.01,,,1-Difluoroethane;-511.1;300.01,,
"1,1-Difluoroethane",-491,303.15,,,1-Difluoroethane;-491;303.15,,
"1,1-Difluoroethane",-468,309.99,,,1-Difluoroethane;-468;309.99,,
"1,1-Difluoroethane",-458.2,310,,,1-Difluoroethane;-458.2;310,,
"1,1-Difluoroethane",-450.8,310,,,1-Difluoroethane;-450.8;310,,
"1,1-Difluoroethane",-449.6,313.15,,,1-Difluoroethane;-449.6;313.15,,
"1,1-Difluoroethane",-436.4,320,,,1-Difluoroethane;-436.4;320,,
"1,1-Difluoroethane",-414.3,323.15,,,1-Difluoroethane;-414.3;323.15,,
"1,1-Difluoroethane",-396.7,329.95,,,1-Difluoroethane;-396.7;329.95,,
"1,1-Difluoroethane",-381,333.15,,,1-Difluoroethane;-381;333.15,,
"1,1-Difluoroethane",-368.7,340,,,1-Difluoroethane;-368.7;340,,
"1,1-Difluoroethane",-337,343.15,,,1-Difluoroethane;-337;343.15,,
"1,1-Difluoroethane",-354.1,343.15,,,1-Difluoroethane;-354.1;343.15,,
"1,1-Difluoroethane",-340.3,349.99,,,1-Difluoroethane;-340.3;349.99,,
"1,1-Difluoroethane",-332,353.15,,,1-Difluoroethane;-332;353.15,,
"1,1-Difluoroethane",-328.8,353.15,,,1-Difluoroethane;-328.8;353.15,,
"1,1-Difluoroethane",-311.3,360,,,1-Difluoroethane;-311.3;360,,
"1,1-Difluoroethane",-314.3,360,,,1-Difluoroethane;-314.3;360,,
"1,1-Difluoroethane",-289,363.15,,,1-Difluoroethane;-289;363.15,,
"1,1-Difluoroethane",-306.6,363.15,,,1-Difluoroethane;-306.6;363.15,,
"1,1-Difluoroethane",-295,369.98,,,1-Difluoroethane;-295;369.98,,
"1,1-Difluoroethane",-291.1,370,,,1-Difluoroethane;-291.1;370,,
"1,1-Difluoroethane",-287.5,373.15,,,1-Difluoroethane;-287.5;373.15,,
"1,1-Difluoroethane",-277.4,378.15,,,1-Difluoroethane;-277.4;378.15,,
"1,1-Difluoroethane",-271.7,380,,,1-Difluoroethane;-271.7;380,,
"1,1-Difluoroethane",-270,380,,,1-Difluoroethane;-270;380,,
"1,1-Difluoroethane",-245,383.15,,,1-Difluoroethane;-245;383.15,,
"1,1-Difluoroethane",-268.2,383.15,,,1-Difluoroethane;-268.2;383.15,,
"1,1-Difluoroethane",-259.5,388.15,,,1-Difluoroethane;-259.5;388.15,,
"1,1-Difluoroethane",-254.8,390,,,1-Difluoroethane;-254.8;390,,
"1,1-Difluoroethane",-251.5,393.15,,,1-Difluoroethane;-251.5;393.15,,
"1,1-Difluoroethane",-242,399.96,,,1-Difluoroethane;-242;399.96,,
"1,1-Difluoroethane",-239.4,400,,,1-Difluoroethane;-239.4;400,,
"1,1-Difluoroethane",-233.5,400,,,1-Difluoroethane;-233.5;400,,
"1,1-Difluoroethane",-207,403.15,,,1-Difluoroethane;-207;403.15,,
"1,1-Difluoroethane",-235.5,403.15,,,1-Difluoroethane;-235.5;403.15,,
"1,1-Difluoroethane",-223.8,410,,,1-Difluoroethane;-223.8;410,,
"1,1-Difluoroethane",-227,413.15,,,1-Difluoroethane;-227;413.15,,
"1,1-Difluoroethane",-221.1,413.15,,,1-Difluoroethane;-221.1;413.15,,
"1,1-Difluoroethane",-210.8,420,,,1-Difluoroethane;-210.8;420,,
"1,1-Difluoroethane",-203.1,420,,,1-Difluoroethane;-203.1;420,,
"1,1-Difluoroethane",-208,423.15,,,1-Difluoroethane;-208;423.15,,
"1,1-Difluoroethane",-197.7,430,,,1-Difluoroethane;-197.7;430,,
"1,1-Difluoroethane",-196.4,433.15,,,1-Difluoroethane;-196.4;433.15,,
"1,1-Difluoroethane",-184.8,440,,,1-Difluoroethane;-184.8;440,,
"1,1-Difluoroethane",-164,473.15,,,1-Difluoroethane;-164;473.15,,
Ethanal,-1461,288.2,,,,,
Ethanal,-1295,293.2,,,,,
Ethanal,-1234,297.9,,,,,
Ethanal,-1206,298.2,,,,,
Ethanal,-1125,303.2,,,,,
Ethanal,-1050,308.2,,,,,
Ethanal,-944,313.15,,,,,
Ethanal,-959,313.2,,,,,
Ethanal,-765,333.15,,,,,
Ethanal,-770,345.2,,,,,
Ethanal,-633,353.25,,,,,
Ethanal,-530,372.9,,,,,
Ethanal,-533,373.65,,,,,
Ethanal,-550,381.2,,,,,
Ethanal,-320,438.2,,,,,
Ethanal,-260,476.2,,,,,
Oxirane,-605,298.15,,,,,
Oxirane,-508,323.15,,,,,
Oxirane,-426,348.15,,,,,
Oxirane,-375,368.15,,,,,
Ethanoic acid,-4057,473.65,,,,,
Ethanoic acid,-2375,496.72,,,,,
Ethanoic acid,-1314,525.34,,,,,
Ethanoic acid,-946,548.33,,,,,
Ethanoic acid,-550,574.08,,,,,
Ethanoic acid,-571,574.08,,,,,
Methyl  methanoate,-949,308.15,,,,,
Methyl  methanoate,-884,313.15,,,,,
Methyl  methanoate,-840,319.2,,,,,
Methyl  methanoate,-783,323.15,,,,,
Methyl  methanoate,-760,326.7,,,,,
Methyl  methanoate,-710,333.2,,,,,
Methyl  methanoate,-705,335.1,,,,,
Methyl  methanoate,-687,338.15,,,,,
Methyl  methanoate,-660,342.3,,,,,
Methyl  methanoate,-621,348.15,,,,,
Methyl  methanoate,-640,348.2,,,,,
Methyl  methanoate,-610,351.3,,,,,
Methyl  methanoate,-550,367.2,,,,,
Methyl  methanoate,-520,373.15,,,,,
Methyl  methanoate,-500,378,,,,,
Methyl  methanoate,-470,386.3,,,,,
Methyl  methanoate,-440,396.7,,,,,
Bromoethane,-795,293.1,,,,,
Bromoethane,-815,304.55,,,,,
Bromoethane,-705,311.85,,,,,
Bromoethane,-669,313.2,,,,,
Bromoethane,-558,322.65,,,,,
Chloroethane,-1092,273.15,,,,,
Chloroethane,-898,293.4,,,,,
Chloroethane,-737,298.15,,,,,
Chloroethane,-724,303.2,,,,,
Chloroethane,-642,313.15,,,,,
Chloroethane,-674,313.2,,,,,
Chloroethane,-659,316.7,,,,,
Chloroethane,-613,324.2,,,,,
Chloroethane,-589,324.4,,,,,
Chloroethane,-570,331.8,,,,,
Chloroethane,-535,333.2,,,,,
Chloroethane,-556,334,,,,,
Chloroethane,-474,344,,,,,
Chloroethane,-509,344.2,,,,,
Chloroethane,-648,348.8,,,,,
Chloroethane,-473,351,,,,,
Chloroethane,-511,351.4,,,,,
Chloroethane,-504,351.4,,,,,
Chloroethane,-501,351.5,,,,,
Chloroethane,-597,367.7,,,,,
Chloroethane,-452,368.2,,,,,
Chloroethane,-552,373.1,,,,,
Chloroethane,-387,378.9,,,,,
Chloroethane,-388,381.4,,,,,
Chloroethane,-358,386.5,,,,,
Chloroethane,-373,392.2,,,,,
Chloroethane,-324,399.8,,,,,
Chloroethane,-346,405.4,,,,,
Chloroethane,-281,420.6,,,,,
Chloroethane,-243,447.1,,,,,
Chloroethane,-213,468.2,,,,,
Chloroethane,-185,493.4,,,,,
Chloroethane,-163,517.7,,,,,
Chloroethane,-163,518.9,,,,,
